trip_id,start_time,end_time,headway_secs,exact_times
MYP_R01_AM,08:00:00,12:00:00,300,0
MYP_R01_PM,16:00:00,21:30:00,300,0
MYP_R02_AM,08:00:00,12:00:00,300,0
MYP_R02_PM,16:00:00,21:30:00,300,0
MYP_R03_AM,08:00:00,12:00:00,300,0
MYP_R03_PM,16:00:00,21:30:00,300,0
MYP_R04_AM,08:00:00,10:30:00,1200,0
MYP_R04_PM,16:00:00,20:00:00,1200,0
MYP_R05_AM,08:00:00,12:00:00,1200,0
MYP_R05_PM,16:00:00,21:30:00,1200,0
MYP_R06_AM,08:00:00,12:00:00,1200,0
MYP_R06_PM,16:00:00,21:30:00,1200,0
MYP_R07_AM,08:00:00,12:00:00,1200,0
MYP_R07_PM,16:00:00,21:30:00,1200,0
MYP_R08_AM,08:00:00,12:00:00,1200,0
MYP_R08_PM,16:00:00,21:30:00,1200,0
LBN_R01_AM,08:00:00,11:00:00,900,0
LBN_R01_PM,17:00:00,21:30:00,900,0
LBN_R02_AM,08:00:00,11:00:00,1200,0
LBN_R02_PM,17:00:00,21:30:00,1200,0
LBN_R03_AM,08:00:00,11:00:00,1200,0
LBN_R03_PM,17:00:00,21:30:00,1200,0
