shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
MYP_R01_shape,17.4963756,78.3724185,1,0.0
MYP_R01_shape,17.493,78.349,2,2.512
MYP_R01_shape,17.502,78.336,3,4.215
MYP_R01_shape,17.485,78.324,4,6.494
MYP_R02_shape,17.4963756,78.3724185,1,0.0
MYP_R02_shape,17.493,78.349,2,2.512
MYP_R02_shape,17.502,78.336,3,4.215
MYP_R03_shape,17.4963756,78.3724185,1,0.0
MYP_R03_shape,17.490793,78.352188,2,2.233
MYP_R04_shape,17.4963756,78.3724185,1,0.0
MYP_R04_shape,17.5468,78.365,2,5.662
MYP_R05_shape,17.4963756,78.3724185,1,0.0
MYP_R05_shape,17.5208,78.2979,2,8.356
MYP_R06_shape,17.4963756,78.3724185,1,0.0
MYP_R06_shape,17.4954,78.296,2,8.105
MYP_R07_shape,17.4963756,78.3724185,1,0.0
MYP_R07_shape,17.5192,78.3066,2,7.427
MYP_R08_shape,17.4963756,78.3724185,1,0.0
MYP_R08_shape,17.48,78.31,2,6.866
LBN_R01_shape,17.3502938,78.5478238,1,0.0
LBN_R01_shape,17.3334,78.5623,2,2.427
LBN_R01_shape,17.341,78.558,3,3.387
LBN_R01_shape,17.338,78.56,4,3.783
LBN_R01_shape,17.33,78.57,5,5.168
LBN_R02_shape,17.3502938,78.5478238,1,0.0
LBN_R02_shape,17.3471,78.5499,2,0.418
LBN_R02_shape,17.3387,78.5588,3,1.746
LBN_R02_shape,17.338,78.56,4,1.896
LBN_R03_shape,17.3502938,78.5478238,1,0.0
LBN_R03_shape,17.3471,78.5499,2,0.418
LBN_R03_shape,17.345,78.545,3,0.988
LBN_R03_shape,17.336601,78.5534564,4,2.283
LBN_R03_shape,17.3262,78.5513,5,3.462
LBN_R03_shape,17.3141,78.5613,6,5.176
